Customer_ID,Age,Gender,City,Annual_Income,Product_Category,Purchase_Amount,Customer_Rating,Orders
1001,34.0,Male,Bikaner,665600.0,Sports,3967.01,3.2,5
1002,22.0,Male,Bikaner,708900.0,Books,5268.3,4.0,4
1003,38.0,Female,Jodhpur,507300.0,Home & Kitchen,4645.46,3.8,6
1004,39.0,Male,Ajmer,654800.0,Home & Kitchen,3470.85,3.7,5
1005,18.0,Male,Udaipur,752700.0,Books,4562.27,3.7,9
1006,19.0,Female,Kota,761300.0,Clothing,5636.44,3.9,3
1007,32.0,Other,Bikaner,929300.0,Electronics,3512.12,4.4,5
1008,28.0,Female,Kota,879900.0,Home & Kitchen,3426.18,4.8,8
1009,31.0,Male,Jodhpur,469800.0,Electronics,2207.46,3.8,3
1010,23.0,Female,Jodhpur,953000.0,Electronics,6059.6,4.4,6
1011,39.0,Female,Udaipur,554400.0,Home & Kitchen,6399.71,3.3,6
1012,38.0,Male,Ajmer,645950.0,Books,5709.65,4.3,6
1013,32.0,Female,Bikaner,662200.0,Books,7323.38,3.3,4
1014,41.0,Male,Udaipur,575800.0,Clothing,5393.31,4.6,4
1015,35.0,Male,Bikaner,324600.0,Home & Kitchen,6062.42,5.0,3
1016,23.0,Female,Bikaner,645950.0,Electronics,5868.44,3.7,6
1017,34.0,Male,Udaipur,369300.0,Books,4998.61,2.3,6
1018,22.0,Male,Udaipur,824100.0,Clothing,4032.19,3.4,4
1019,39.0,Female,Ajmer,923000.0,Books,10071.14,4.7,7
1020,31.0,Other,Kota,506600.0,Sports,4205.71,4.2,4
1021,29.0,Female,Jaipur,704400.0,Books,3735.07,4.0,3
1022,25.0,Female,Bikaner,519400.0,Clothing,6154.82,4.5,7
1023,42.0,Other,Kota,536900.0,Sports,5754.08,4.1,3
1024,30.0,Male,Kota,789400.0,Books,2109.46,4.7,7
1025,27.0,Male,Bikaner,643100.0,Books,7669.89,4.4,3
1026,28.0,Male,Ajmer,963100.0,Sports,4992.77,4.9,1
1027,36.0,Male,Jodhpur,563200.0,Sports,2755.95,4.1,5
1028,34.0,Female,Udaipur,829900.0,Electronics,7815.33,4.4,2
1029,35.0,Male,Jodhpur,667500.0,Sports,6576.49,3.6,5
1030,35.0,Male,Kota,793200.0,Books,2418.01,3.4,2
1031,50.0,Male,Udaipur,569500.0,Clothing,9109.8,5.0,5
1032,27.0,Male,Udaipur,641100.0,Clothing,6649.35,4.0,9
1033,26.0,Female,Bikaner,629200.0,Books,5177.57,4.4,2
1034,24.0,Male,Udaipur,499500.0,Clothing,8698.48,3.9,5
1035,37.0,Male,Udaipur,769200.0,Home & Kitchen,5550.46,3.4,4
1036,41.0,Male,Udaipur,767000.0,Books,5138.22,3.8,5
1037,30.0,Female,Jodhpur,756800.0,Books,3747.34,4.8,5
1038,23.0,Female,Jaipur,926700.0,Sports,6480.07,4.2,4
1039,24.0,Female,Bikaner,910900.0,Electronics,6248.53,2.6,3
1040,37.0,Male,Jaipur,582500.0,Clothing,5232.3,3.6,4
1041,38.0,Male,Jodhpur,717100.0,Sports,3462.03,5.0,6
1042,36.0,Female,Bikaner,537800.0,Home & Kitchen,5485.85,3.7,8
1043,25.0,Female,Jaipur,654200.0,Clothing,5046.44,2.5,2
1044,33.0,Female,Kota,542000.0,Clothing,2266.36,5.0,4
1045,32.0,Female,Bikaner,941600.0,Clothing,1962.01,4.3,2
